model,t1_val_auc,t1_val_acc,t1_test_auc,t1_test_acc,t2_val_auc,t2_val_acc,t2_test_auc,t2_test_acc
RandomForest_r15_BAG_L2,0.5948529411764706,0.6081081081081081,0.7863636363636364,0.7397260273972602,,,,
LightGBM_r143_BAG_L1,0.5948529411764706,0.5405405405405406,0.7840909090909091,0.7123287671232876,,,,
NeuralNetFastAI_r145_BAG_L2,0.5941176470588235,0.5945945945945946,0.7765151515151516,0.726027397260274,,,,
XGBoost_r49_BAG_L2,0.5926470588235294,0.6081081081081081,0.7803030303030303,0.7534246575342466,,,,
XGBoost_r89_BAG_L2,0.5919117647058825,0.6081081081081081,0.7931818181818182,0.7534246575342466,,,,
ExtraTrees_r42_BAG_L2,0.5919117647058824,0.581081081081081,0.8071969696969697,0.7945205479452054,,,,
NeuralNetFastAI_r187_BAG_L2,0.5904411764705882,0.5945945945945946,0.8227272727272728,0.7808219178082192,,,,
LightGBM_r30_BAG_L2,0.5904411764705882,0.5945945945945946,0.803030303030303,0.7808219178082192,,,,
RandomForest_r39_BAG_L2,0.5889705882352941,0.6081081081081081,0.7825757575757577,0.726027397260274,,,,
LightGBM_r188_BAG_L1,0.588235294117647,0.5135135135135135,0.7946969696969696,0.7534246575342466,,,,
NeuralNetFastAI_r37_BAG_L2,0.5875,0.5945945945945946,0.8356060606060606,0.7808219178082192,,,,
ExtraTrees_r172_BAG_L2,0.5875,0.5945945945945946,0.8068181818181818,0.7945205479452054,,,,
LightGBM_r30_BAG_L1,0.5860294117647059,0.5945945945945946,0.7954545454545454,0.7671232876712328,,,,
LightGBM_BAG_L2,0.5610294117647059,0.581081081081081,0.8212121212121212,0.7808219178082192,0.6095588235294117,0.5675675675675675,0.7515151515151516,0.6575342465753424
ExtraTrees_r197_BAG_L2,0.5830882352941177,0.5675675675675675,0.8083333333333333,0.8082191780821918,,,,
NeuralNetFastAI_r138_BAG_L2,0.5801470588235295,0.6486486486486487,0.8037878787878788,0.7534246575342466,,,,
LightGBM_r121_BAG_L2,0.5764705882352941,0.581081081081081,0.7916666666666667,0.7808219178082192,,,,
LightGBM_r94_BAG_L1,0.5742647058823529,0.581081081081081,0.8090909090909091,0.7534246575342466,,,,
NeuralNetFastAI_r102_BAG_L2,0.5727941176470589,0.6216216216216216,0.8212121212121213,0.821917808219178,,,,
LightGBM_r161_BAG_L2,0.5683823529411764,0.5540540540540541,0.7962121212121213,0.7671232876712328,,,,
XGBoost_r98_BAG_L2,0.5669117647058823,0.581081081081081,0.7924242424242425,0.7671232876712328,,,,
XGBoost_r22_BAG_L2,0.5639705882352941,0.6081081081081081,0.7848484848484849,0.7808219178082192,,,,
LightGBM_r196_BAG_L2,0.5617647058823529,0.5945945945945946,0.8113636363636364,0.7808219178082192,,,,
LightGBM_r143_BAG_L2,0.5595588235294118,0.581081081081081,0.8098484848484849,0.7671232876712328,,,,
NeuralNetFastAI_r127_BAG_L2,0.5595588235294118,0.6216216216216216,0.8,0.8082191780821918,,,,
LightGBM_r94_BAG_L2,0.5588235294117647,0.581081081081081,0.828030303030303,0.7671232876712328,,,,
NeuralNetFastAI_r111_BAG_L2,0.5551470588235294,0.581081081081081,0.8522727272727272,0.8082191780821918,,,,
LightGBM_r96_BAG_L1,0.4970588235294116,0.5135135135135135,0.7787878787878788,0.6712328767123288,0.6095588235294118,0.5135135135135135,0.7227272727272728,0.6712328767123288
LightGBM_r135_BAG_L2,0.5470588235294118,0.5540540540540541,0.8075757575757575,0.7397260273972602,,,,
LightGBM_r130_BAG_L2,0.5352941176470588,0.5675675675675675,0.7992424242424242,0.7397260273972602,,,,
LightGBM_r135_BAG_L1,0.5330882352941176,0.5135135135135135,0.7916666666666666,0.6575342465753424,,,,
LightGBM_r188_BAG_L2,0.5330882352941176,0.6081081081081081,0.7931818181818182,0.7808219178082192,,,,
RandomForest_r34_BAG_L1,0.5286764705882353,0.5,0.7893939393939394,0.6575342465753424,,,,
LightGBM_r130_BAG_L1,0.5205882352941176,0.527027027027027,0.7696969696969698,0.6164383561643836,,,,
