rank_by_val,model,stack_level,val_auc,val_acc,test_auc,test_acc,n_val,n_test,fit_time,pred_time_val,can_infer
150,ExtraTrees_r197_BAG_L2,2,0.5830882352941177,0.5675675675675675,0.8083333333333333,0.8082191780821918,74,73,8.505556583404541,0.5905647277832031,True
151,NeuralNetFastAI_r138_BAG_L2,2,0.5801470588235295,0.6486486486486487,0.8037878787878788,0.7534246575342466,74,73,11.389556407928469,0.6312594413757324,True
152,LightGBM_r121_BAG_L2,2,0.5764705882352941,0.581081081081081,0.7916666666666667,0.7808219178082192,74,73,8.347637176513672,0.5810067653656006,True
153,LightGBM_r94_BAG_L1,1,0.5742647058823529,0.581081081081081,0.8090909090909091,0.7534246575342466,74,73,0.5959818363189697,0.0236389636993408,True
154,NeuralNetFastAI_r102_BAG_L2,2,0.5727941176470589,0.6216216216216216,0.8212121212121213,0.821917808219178,74,73,11.424663543701172,0.6369242668151855,True
155,LightGBM_r161_BAG_L2,2,0.5683823529411764,0.5540540540540541,0.7962121212121213,0.7671232876712328,74,73,8.405608177185059,0.5662577152252197,True
156,LightGBM_r96_BAG_L2,2,0.5676470588235294,0.5540540540540541,0.8227272727272726,0.7534246575342466,74,73,8.317287921905518,0.5624277591705322,True
157,LightGBM_r131_BAG_L2,2,0.5669117647058823,0.6081081081081081,0.7901515151515152,0.7534246575342466,74,73,8.300184965133667,0.5597178936004639,True
158,XGBoost_r98_BAG_L2,2,0.5669117647058823,0.581081081081081,0.7924242424242425,0.7671232876712328,74,73,8.842212915420532,0.6469738483428955,True
159,XGBoost_r22_BAG_L2,2,0.5639705882352941,0.6081081081081081,0.7848484848484849,0.7808219178082192,74,73,8.193994045257568,0.6023142337799072,True
160,LightGBM_r196_BAG_L2,2,0.5617647058823529,0.5945945945945946,0.8113636363636364,0.7808219178082192,74,73,8.964882850646973,0.6695590019226074,True
161,LightGBM_BAG_L2,2,0.5610294117647059,0.581081081081081,0.8212121212121212,0.7808219178082192,74,73,8.214599609375,0.5510621070861816,True
162,LightGBM_r143_BAG_L2,2,0.5595588235294118,0.581081081081081,0.8098484848484849,0.7671232876712328,74,73,8.217175960540771,0.5560107231140137,True
163,NeuralNetFastAI_r127_BAG_L2,2,0.5595588235294118,0.6216216216216216,0.8,0.8082191780821918,74,73,11.530155181884766,0.6470744609832764,True
164,LightGBM_r94_BAG_L2,2,0.5588235294117647,0.581081081081081,0.828030303030303,0.7671232876712328,74,73,8.294398546218872,0.5675563812255859,True
165,NeuralNetFastAI_r111_BAG_L2,2,0.5551470588235294,0.581081081081081,0.8522727272727272,0.8082191780821918,74,73,11.5004460811615,0.6802949905395508,True
166,LightGBMXT_BAG_L2,2,0.5544117647058824,0.5675675675675675,0.7946969696969697,0.7945205479452054,74,73,8.200241088867188,0.5567154884338379,True
167,LightGBM_r135_BAG_L2,2,0.5470588235294118,0.5540540540540541,0.8075757575757575,0.7397260273972602,74,73,8.079108715057373,0.5662088394165039,True
168,LightGBM_r130_BAG_L2,2,0.5352941176470588,0.5675675675675675,0.7992424242424242,0.7397260273972602,74,73,8.204699993133545,0.5498249530792236,True
169,LightGBM_r188_BAG_L2,2,0.5330882352941176,0.6081081081081081,0.7931818181818182,0.7808219178082192,74,73,8.275166511535645,0.560004472732544,True
170,LightGBM_r135_BAG_L1,1,0.5330882352941176,0.5135135135135135,0.7916666666666666,0.6575342465753424,74,73,0.5733821392059326,0.0116868019104003,True
171,RandomForest_r34_BAG_L1,1,0.5286764705882353,0.5,0.7893939393939394,0.6575342465753424,74,73,0.6540954113006592,0.0303053855895996,True
172,LightGBM_r130_BAG_L1,1,0.5205882352941176,0.527027027027027,0.7696969696969698,0.6164383561643836,74,73,0.5383527278900146,0.012103796005249,True
