model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForest_r127_BAG_L2,0.6220588235294118,roc_auc,0.5693330764770508,8.381896257400513,0.031469106674194336,0.7795555591583252,2,True,135
CatBoost_r69_BAG_L2,0.6220588235294118,roc_auc,0.5701010227203369,8.89933180809021,0.03223705291748047,1.2969911098480225,2,True,118
CatBoost_r9_BAG_L1,0.6220588235294117,roc_auc,0.032910823822021484,1.9665093421936035,0.032910823822021484,1.9665093421936035,1,True,14
CatBoost_r49_BAG_L1,0.6213235294117647,roc_auc,0.041735172271728516,0.9062485694885254,0.041735172271728516,0.9062485694885254,1,True,44
CatBoost_r177_BAG_L2,0.6213235294117647,roc_auc,0.5539035797119141,9.174987554550171,0.016039609909057617,1.5726468563079834,2,True,99
CatBoost_r180_BAG_L2,0.6213235294117647,roc_auc,0.573357105255127,11.259886026382446,0.03549313545227051,3.657545328140259,2,True,161
ExtraTreesEntr_BAG_L2,0.6213235294117647,roc_auc,0.5934293270111084,7.947974920272827,0.05556535720825195,0.34563422203063965,2,True,95
ExtraTrees_r42_BAG_L1,0.6209558823529412,roc_auc,0.059921979904174805,0.5939218997955322,0.059921979904174805,0.5939218997955322,1,True,17
CatBoost_r5_BAG_L2,0.6205882352941177,roc_auc,0.569136381149292,8.920322179794312,0.03127241134643555,1.317981481552124,2,True,146
LightGBM_r15_BAG_L1,0.6183823529411765,roc_auc,0.0402216911315918,0.5797388553619385,0.0402216911315918,0.5797388553619385,1,True,41
NeuralNetFastAI_r127_BAG_L1,0.6176470588235294,roc_auc,0.09948921203613281,3.5820114612579346,0.09948921203613281,3.5820114612579346,1,True,75
CatBoost_r50_BAG_L1,0.6161764705882352,roc_auc,0.040445566177368164,1.0187623500823975,0.040445566177368164,1.0187623500823975,1,True,26
LightGBMLarge_BAG_L2,0.6154411764705884,roc_auc,0.5577161312103271,8.328867435455322,0.019852161407470703,0.7265267372131348,2,True,98
XGBoost_r34_BAG_L1,0.6154411764705883,roc_auc,0.10648226737976074,0.5860757827758789,0.10648226737976074,0.5860757827758789,1,True,86
CatBoost_r198_BAG_L2,0.6154411764705883,roc_auc,0.5553405284881592,9.54330587387085,0.017476558685302734,1.940965175628662,2,True,171
LightGBM_r15_BAG_L2,0.6154411764705883,roc_auc,0.5581364631652832,8.252959251403809,0.020272493362426758,0.6506185531616211,2,True,129
NeuralNetFastAI_r191_BAG_L1,0.6147058823529412,roc_auc,0.1395869255065918,3.0899391174316406,0.1395869255065918,3.0899391174316406,1,True,13
NeuralNetFastAI_r143_BAG_L2,0.6147058823529411,roc_auc,0.6764671802520752,12.32981014251709,0.13860321044921875,4.727469444274902,2,True,121
ExtraTrees_r172_BAG_L1,0.6132352941176471,roc_auc,0.043573856353759766,0.6721370220184326,0.043573856353759766,0.6721370220184326,1,True,29
CatBoost_r5_BAG_L1,0.613235294117647,roc_auc,0.040402889251708984,0.828362226486206,0.040402889251708984,0.828362226486206,1,True,58
CatBoost_r12_BAG_L1,0.6125,roc_auc,0.018746376037597656,2.013657331466675,0.018746376037597656,2.013657331466675,1,True,78
CatBoost_r167_BAG_L1,0.6124999999999999,roc_auc,0.022542715072631836,1.3850927352905273,0.022542715072631836,1.3850927352905273,1,True,38
NeuralNetFastAI_r95_BAG_L2,0.6124999999999999,roc_auc,0.659663200378418,10.876126050949097,0.12179923057556152,3.273785352706909,2,True,127
RandomForest_r16_BAG_L2,0.6121323529411764,roc_auc,0.5860087871551514,8.349160432815552,0.04814481735229492,0.7468197345733643,2,True,164
CatBoost_r69_BAG_L1,0.6117647058823529,roc_auc,0.014780521392822266,0.9622154235839844,0.014780521392822266,0.9622154235839844,1,True,30
ExtraTrees_r4_BAG_L2,0.6110294117647058,roc_auc,0.5684237480163574,8.338885068893433,0.030559778213500977,0.7365443706512451,2,True,141
CatBoost_r143_BAG_L1,0.6102941176470588,roc_auc,0.016141891479492188,1.3681128025054932,0.016141891479492188,1.3681128025054932,1,True,59
CatBoost_r70_BAG_L1,0.6095588235294117,roc_auc,0.029806852340698242,1.3212454319000244,0.029806852340698242,1.3212454319000244,1,True,34
LightGBM_r42_BAG_L1,0.6095588235294117,roc_auc,0.030466794967651367,0.6458261013031006,0.030466794967651367,0.6458261013031006,1,True,87
NeuralNetFastAI_r103_BAG_L1,0.6095588235294117,roc_auc,0.07240915298461914,3.14603853225708,0.07240915298461914,3.14603853225708,1,True,31
CatBoost_r177_BAG_L1,0.6088235294117648,roc_auc,0.025897741317749023,1.0773980617523193,0.025897741317749023,1.0773980617523193,1,True,11
CatBoost_r128_BAG_L1,0.6088235294117647,roc_auc,0.02202892303466797,2.0896658897399902,0.02202892303466797,2.0896658897399902,1,True,51
CatBoost_BAG_L1,0.6088235294117647,roc_auc,0.2816805839538574,1.1139905452728271,0.2816805839538574,1.1139905452728271,1,True,5
NeuralNetFastAI_r11_BAG_L1,0.6080882352941177,roc_auc,0.09444355964660645,3.277573823928833,0.09444355964660645,3.277573823928833,1,True,27
CatBoost_r163_BAG_L2,0.6080882352941176,roc_auc,0.5550119876861572,9.058999300003052,0.01714801788330078,1.4566586017608643,2,True,170
NeuralNetFastAI_r4_BAG_L2,0.6066176470588236,roc_auc,0.592371940612793,10.724378824234009,0.05450797080993652,3.1220381259918213,2,True,167
CatBoost_r13_BAG_L1,0.6066176470588235,roc_auc,0.09595823287963867,3.2984797954559326,0.09595823287963867,3.2984797954559326,1,True,20
XGBoost_BAG_L2,0.6066176470588235,roc_auc,0.5887737274169922,8.178844928741455,0.05090975761413574,0.5765042304992676,2,True,97
XGBoost_r194_BAG_L2,0.6066176470588235,roc_auc,0.5983247756958008,8.155032396316528,0.060460805892944336,0.5526916980743408,2,True,116
RandomForest_r166_BAG_L2,0.6066176470588235,roc_auc,0.5983669757843018,8.499393939971924,0.06050300598144531,0.8970532417297363,2,True,149
